historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
"Traslado do Exmo. Governador de Minas Gerais e comitiva em agenda Oficial nas cidades de São Paulo/SP; Entrega de Kits Defesa Civil e anuncio de recursos para UFLA em Lavras; Anuncio de Recursos para Universidade Federal de São João del-Rei e assinatura de decretos de liberdade econômica para cidades da região; entrega de títulos de de propriedade em Barroso/MG; Anunciou de investimentos para a área da Saúde do município Barbacena e região.";00:30:00;PT-MGS - PT-MGS;0078-2021;DTA;2021-10-22;BARBACENA;BELO HORIZONTE;Paulo Roberto Bermudes Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo. Governador de Minas Gerais e comitiva em agenda Oficial nas cidades de São Paulo/SP; Entrega de Kits Defesa Civil e anuncio de recursos para UFLA em Lavras; Anuncio de Recursos para Universidade Federal de São João del-Rei e assinatura de decretos de liberdade econômica para cidades da região; entrega de títulos de de propriedade em Barroso/MG; Anunciou de investimentos para a área da Saúde do município Barbacena e região.";00:30:00;PT-MGS - PT-MGS;0078-2021;DTA;2021-10-22;BARBACENA;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:55:00;PT-MGS - PT-MGS;0079-2021;DTA;2021-10-28;BELO HORIZONTE;UBERLANDIA;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:55:00;PT-MGS - PT-MGS;0079-2021;DTA;2021-10-28;BELO HORIZONTE;UBERLANDIA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:55:00;PT-MGS - PT-MGS;0079-2021;DTA;2021-10-28;BELO HORIZONTE;UBERLANDIA;Osvaldo de Souza Marques;Chefe;Gabinete Militar do Governador
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:55:00;PT-MGS - PT-MGS;0079-2021;DTA;2021-10-28;BELO HORIZONTE;UBERLANDIA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:35:00;PT-MGS - PT-MGS;0081-2021;DTA;2021-10-30;ITUIUTABA;ARAXA;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:35:00;PT-MGS - PT-MGS;0081-2021;DTA;2021-10-30;ITUIUTABA;ARAXA;Eric da Cruz Gonçalves;Repórter;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:35:00;PT-MGS - PT-MGS;0081-2021;DTA;2021-10-30;ITUIUTABA;ARAXA;Gilsian Pelli Leonardi;Fotógrafo;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:35:00;PT-MGS - PT-MGS;0081-2021;DTA;2021-10-30;ITUIUTABA;ARAXA;João Bosco;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
