historico;horas_voadas;aernova;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:06:00;PP-LCE - PÉGASUS 24;0118-2025;DTA;2025-09-05;ARACUAI;BELO HORIZONTE;Andreza Gischewski Costa;Assessor Especial;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:06:00;PP-LCE - PÉGASUS 24;0118-2025;DTA;2025-09-05;ARACUAI;BELO HORIZONTE;Barbara Barros Botega;Secretária Adjunta;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:06:00;PP-LCE - PÉGASUS 24;0118-2025;DTA;2025-09-05;ARACUAI;BELO HORIZONTE;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:06:00;PP-LCE - PÉGASUS 24;0118-2025;DTA;2025-09-05;ARACUAI;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:06:00;PP-LCE - PÉGASUS 24;0118-2025;DTA;2025-09-05;ARACUAI;BELO HORIZONTE;Thales Almeida Pereira Fernandes;Secretário de Estado;Secretaria de Estado de Pecuária e Abastecimento
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Poços de Caldas/MG,  São Paulo/SP,  Uberlândia/MG e Araxá/MG.;00:42:00;PT-MGS - PT-MGS;0013-2025;DTA;2025-05-24;ARAXA;BELO HORIZONTE;Filipe Natanael Correa Cardoso;Assessor de Redes Sociais;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Poços de Caldas/MG,  São Paulo/SP,  Uberlândia/MG e Araxá/MG.;00:42:00;PT-MGS - PT-MGS;0013-2025;DTA;2025-05-24;ARAXA;BELO HORIZONTE;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Poços de Caldas/MG,  São Paulo/SP,  Uberlândia/MG e Araxá/MG.;00:42:00;PT-MGS - PT-MGS;0013-2025;DTA;2025-05-24;ARAXA;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Araxá/MG para Goianá/MG, com retorno para Belo Horizonte.;01:00:00;PP-LCE - PÉGASUS 24;0164-2025;DTA;2025-11-03;ARAXA;BELO HORIZONTE;Andre Valadares da Cruz;Videomaker;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva de Araxá/MG para Goianá/MG, com retorno para Belo Horizonte.;01:00:00;PP-LCE - PÉGASUS 24;0164-2025;DTA;2025-11-03;ARAXA;BELO HORIZONTE;Andreza Gischewski Costa;Assessor Especial;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Araxá/MG para Goianá/MG, com retorno para Belo Horizonte.;01:00:00;PP-LCE - PÉGASUS 24;0164-2025;DTA;2025-11-03;ARAXA;BELO HORIZONTE;Fábio Baccheretti Vitor;Secretário de Estado;Secretaria de Estado de Saúde
Traslado do Exmo. Governador de Minas e Comitiva de Araxá/MG para Goianá/MG, com retorno para Belo Horizonte.;01:00:00;PP-LCE - PÉGASUS 24;0164-2025;DTA;2025-11-03;ARAXA;BELO HORIZONTE;Gilsian Pelli Leonardi;Fotógrafo;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Araxá/MG para Goianá/MG, com retorno para Belo Horizonte.;01:00:00;PP-LCE - PÉGASUS 24;0164-2025;DTA;2025-11-03;ARAXA;BELO HORIZONTE;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva de Araxá/MG para Goianá/MG, com retorno para Belo Horizonte.;01:00:00;PP-LCE - PÉGASUS 24;0164-2025;DTA;2025-11-03;ARAXA;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até a Cidade de Ouro Preto.;00:25:00;PP-EJJ - PEGASUS 07;0425-2025;1ª BRAvE;2025-09-04;BELO HORIZONTE;BELO HORIZONTE;Andreza Gischewski Costa;Assessor Especial;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até a Cidade de Ouro Preto.;00:25:00;PP-EJJ - PEGASUS 07;0425-2025;1ª BRAvE;2025-09-04;BELO HORIZONTE;BELO HORIZONTE;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva até a Cidade de Ouro Preto.;00:25:00;PP-EJJ - PEGASUS 07;0425-2025;1ª BRAvE;2025-09-04;BELO HORIZONTE;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até a Cidade de Ouro Preto.;00:18:00;PP-EJJ - PEGASUS 07;0426-2025;1ª BRAvE;2025-09-04;BELO HORIZONTE;BELO HORIZONTE;Andreza Gischewski Costa;Assessor Especial;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até a Cidade de Ouro Preto.;00:18:00;PP-EJJ - PEGASUS 07;0426-2025;1ª BRAvE;2025-09-04;BELO HORIZONTE;BELO HORIZONTE;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva até a Cidade de Ouro Preto.;00:18:00;PP-EJJ - PEGASUS 07;0426-2025;1ª BRAvE;2025-09-04;BELO HORIZONTE;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Ouro Branco/MG.;00:12:00;PP-EJK - PEGASUS 08;0128-2025;1ª BRAvE;2025-03-11;BETIM;BELO HORIZONTE;Bernardo Assis Fonseca Santos;Secretário de Estado;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Ouro Branco/MG.;00:12:00;PP-EJK - PEGASUS 08;0128-2025;1ª BRAvE;2025-03-11;BETIM;BELO HORIZONTE;Gustavo de Vasconcellos Moreira (Gustavo Santana);Deputado(a) Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Ouro Branco/MG.;00:12:00;PP-EJK - PEGASUS 08;0128-2025;1ª BRAvE;2025-03-11;BETIM;BELO HORIZONTE;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Ouro Branco/MG.;00:12:00;PP-EJK - PEGASUS 08;0128-2025;1ª BRAvE;2025-03-11;BETIM;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva para Brasília/DF.;01:30:00;PP-LCE - PÉGASUS 24;0018-2025;DTA;2025-01-28;BRASILIA;BELO HORIZONTE;Bernardo Assis Fonseca Santos;Secretário de Estado;Secretaria de Estado de Comunicação Social
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva para Brasília/DF.;01:30:00;PP-LCE - PÉGASUS 24;0018-2025;DTA;2025-01-28;BRASILIA;BELO HORIZONTE;Eric da Cruz Gonçalves;Assessor Especial;Secretaria de Estado de Comunicação Social
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva para Brasília/DF.;01:30:00;PP-LCE - PÉGASUS 24;0018-2025;DTA;2025-01-28;BRASILIA;BELO HORIZONTE;Marcel Dornas Beghini;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva para Brasília/DF.;01:30:00;PP-LCE - PÉGASUS 24;0018-2025;DTA;2025-01-28;BRASILIA;BELO HORIZONTE;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva para Brasília/DF.;01:30:00;PP-LCE - PÉGASUS 24;0018-2025;DTA;2025-01-28;BRASILIA;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva para Brasília/DF.;01:30:00;PP-LCE - PÉGASUS 24;0018-2025;DTA;2025-01-28;BRASILIA;BELO HORIZONTE;Sérgio Pessoa de Paula Castro;Advogado-Geral do Estado;Advocacia-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Brasília/DF.;01:24:00;PP-LCE - PÉGASUS 24;0064-2025;DTA;2025-04-02;BRASILIA;BELO HORIZONTE;Andreza Gischewski Costa;Assessor Especial;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Brasília/DF.;01:24:00;PP-LCE - PÉGASUS 24;0064-2025;DTA;2025-04-02;BRASILIA;BELO HORIZONTE;Filipe Natanael Correa Cardoso;Assessor de Redes Sociais;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Brasília/DF.;01:24:00;PP-LCE - PÉGASUS 24;0064-2025;DTA;2025-04-02;BRASILIA;BELO HORIZONTE;João Ricardo Albanez;Secretário de Estado;Secretaria de Estado de Pecuária e Abastecimento
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Brasília/DF.;01:24:00;PP-LCE - PÉGASUS 24;0064-2025;DTA;2025-04-02;BRASILIA;BELO HORIZONTE;Pedro Bruno Barros de Souza;Secretário de Estado;Secretaria de Estado de Infraestrutura e Mobilidade
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Brasília/DF.;01:24:00;PP-LCE - PÉGASUS 24;0064-2025;DTA;2025-04-02;BRASILIA;BELO HORIZONTE;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Brasília/DF.;01:24:00;PP-LCE - PÉGASUS 24;0064-2025;DTA;2025-04-02;BRASILIA;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Brasília/DF.;01:24:00;PP-LCE - PÉGASUS 24;0064-2025;DTA;2025-04-02;BRASILIA;BELO HORIZONTE;Sérgio Pessoa de Paula Castro;Advogado-Geral do Estado;Advocacia-Geral do Estado de Minas Gerais
